formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Al$_{0.229}$Co$_{0.486}$Cr$_{0.4}$Cu$_{0.229}$Fe$_{0.486}$Mo$_{0.003}$NiTi$_{0.029}$W$_{0.003}$,,,,,,ANNEAL
AlNbTiV,25.0,$^\circ$C,C,1020.0,MPa,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,T,827.0,MPa,CAST
AlMoNbTi,1000.0,$^\circ$C,C,540.0,MPa,ANNEAL
NbTiZr,25.0,$^\circ$C,T,956.0,MPa,CAST
Nb$_{0.5}$Ti$_{0.5}$VZr$_{0.5}$,25.0,$^\circ$C,C,918.0,MPa,OTHER
AlCoCrFeNb$_{0.1}$Ni,25.0,$^\circ$C,C,1641.0,MPa,CAST
HfMoNbTaZr,1400.0,$^\circ$C,C,278.0,MPa,CAST
MoNbRe$_{0.5}$W,25.0,$^\circ$C,C,896.0,MPa,CAST
CoCrFeMnMo$_{0.087}$Ni,25.0,$^\circ$C,C,330.0,MPa,CAST
AlCuFeNiTi,25.0,$^\circ$C,C,1074.0,MPa,CAST
AlCoCrCuNiTiY$_{0.8}$,25.0,$^\circ$C,C,,,CAST
HfMoNbTaTiZr,25.0,$^\circ$C,C,1512.0,MPa,CAST
CrMoTaTi,800.0,$^\circ$C,C,1162.0,MPa,ANNEAL
CoCrMoNbTi$_{0.5}$,25.0,$^\circ$C,C,,,CAST
AlCrFeMo$_{0.5}$NiTi$_{0.6}$,25.0,$^\circ$C,C,1314.5,MPa,CAST
AlNbTiZr,25.0,$^\circ$C,C,1080.0,MPa,
Al$_{0.667}$NbTa$_{0.333}$TiZr$_{0.333}$,25.0,$^\circ$C,C,1280.0,MPa,OTHER
MoNbTaVW,1600.0,$^\circ$C,C,477.0,MPa,CAST
CoCrNi,,,,,,
AlCo$_{0.362}$Cr$_{0.34}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
MoNbTaTiVW,1200.0,$^\circ$C,C,659.0,MPa,CAST
HfNbTiZr,25.0,$^\circ$C,T,879.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,366.88,MPa,WROUGHT
Al$_{0.4}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Al$_{0.143}$Cr$_{0.343}$FeMn$_{0.8}$Ni$_{0.571}$,25.0,$^\circ$C,T,1253.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,72.0,$^\circ$C,C,1040.0,MPa,WROUGHT
Al$_{0.667}$Co$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Mo$_{0.333}$Ni,25.0,$^\circ$C,,,,CAST
Al$_{0.875}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
CoCrFeNb$_{0.155}$Ni,25.0,$^\circ$C,T,322.0,MPa,CAST
Al$_{0.229}$Co$_{0.486}$Cr$_{0.4}$Cu$_{0.229}$Fe$_{0.486}$Mo$_{0.003}$NiTi$_{0.029}$W$_{0.003}$,,,,,,CAST
Al$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,1500.0,MPa,WROUGHT
MoNbSi$_{0.25}$TaW,600.0,$^\circ$C,,,,POWDER
CoCrMoNbTi$_{0.2}$,25.0,$^\circ$C,C,,,CAST
MoNb$_{0.588}$Ti$_{0.588}$V$_{0.588}$Zr$_{0.588}$,25.0,$^\circ$C,C,1645.0,MPa,ANNEAL
Al$_{0.667}$CoCr$_{0.667}$Fe$_{0.667}$Mo$_{0.333}$Ni$_{0.667}$,25.0,$^\circ$C,,,,CAST
AlNbTiV,800.0,$^\circ$C,C,560.0,MPa,ANNEAL
HfMoNbTaTiZr,25.0,$^\circ$C,C,1512.0,MPa,CAST
AlCo$_{0.419}$Cr$_{0.558}$Fe$_{0.233}$Ni$_{0.116}$,,,,,,
Co$_{0.5}$Fe$_{0.5}$Mo$_{0.1}$NiV$_{0.25}$,600.0,$^\circ$C,T,214.0,MPa,CAST
AlNbTaTiV,25.0,$^\circ$C,C,993.0,MPa,CAST
MoNbTaTiW,1200.0,$^\circ$C,C,586.0,MPa,CAST
NbTaTiVZr,1200.0,$^\circ$C,C,78.0,MPa,OTHER
CoCrNi,25.0,$^\circ$C,T,597.0,MPa,WROUGHT
Co$_{0.25}$CrNi,25.0,$^\circ$C,T,395.0,MPa,WROUGHT
MoNbTiV$_{0.25}$Zr,25.0,$^\circ$C,C,1776.0,MPa,CAST
HfNbTaTi,20.0,$^\circ$C,C,860.0,MPa,ANNEAL
Co$_{0.2}$Cu$_{0.2}$Fe$_{0.2}$NbNi$_{0.2}$,25.0,$^\circ$C,C,1498.0,MPa,WROUGHT
Cr$_{0.5}$Fe$_{0.5}$NiTi$_{0.15}$,,,,,,WROUGHT
HfNbTaTiZr,25.0,$^\circ$C,T,1134.0,MPa,OTHER
HfNbTaTiZr,800.0,$^\circ$C,,,,WROUGHT
CrMoNbTiW,25.0,$^\circ$C,C,1260.0,MPa,POWDER
HfNbTaTiWZr,25.0,$^\circ$C,C,1550.0,MPa,CAST
CrMoNbTiW,25.0,$^\circ$C,C,1920.0,MPa,POWDER
Al$_{0.5}$Co$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,C,544.0,MPa,CAST
Hf$_{0.5}$Mo$_{0.5}$NbSi$_{0.1}$TiZr,25.0,$^\circ$C,C,1350.0,MPa,CAST
HfNbSi$_{0.5}$TiVZr,600.0,$^\circ$C,C,597.0,MPa,ANNEAL
CoCrFeNiTi,25.0,$^\circ$C,C,,,CAST
CoCrFeMo$_{0.149}$Ni,,,,,,POWDER
Co$_{0.286}$Cr$_{0.429}$FeMn$_{0.143}$Ni$_{0.714}$V$_{0.286}$,25.0,$^\circ$C,T,312.0,MPa,WROUGHT
AlNbTiV,800.0,$^\circ$C,C,560.0,MPa,ANNEAL
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,900.0,MPa,WROUGHT
CrCuFeMnNi,25.0,$^\circ$C,T,1190.0,MPa,WROUGHT
HfNbTaTiZr,760.0,$^\circ$C,,,,WROUGHT
Al$_{0.6}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Co$_{0.986}$Cr$_{0.952}$Fe$_{0.933}$Mn$_{0.914}$Ni,25.0,$^\circ$C,T,1120.0,MPa,WROUGHT
AlCr$_{0.5}$NbTiV,1000.0,$^\circ$C,C,40.0,MPa,ANNEAL
Al$_{0.4}$Hf$_{0.6}$NbTaTiZr,800.0,$^\circ$C,C,796.0,MPa,OTHER
Mo$_{0.3}$NbTiV$_{0.3}$Zr,25.0,$^\circ$C,C,1312.0,MPa,ANNEAL
CoCuFeMnNiSn$_{0.05}$,25.0,$^\circ$C,T,,,CAST
Al$_{0.5}$CoCrCuFeNi,900.0,$^\circ$C,C,230.0,MPa,CAST
CrCuFeMnNi,25.0,$^\circ$C,T,970.0,MPa,WROUGHT
CoCuFeNiSn$_{0.07}$,25.0,$^\circ$C,T,,,CAST
Al$_{0.25}$CoCrCu$_{0.75}$FeNiTi$_{0.5}$,25.0,$^\circ$C,C,750.0,MPa,CAST
AlCoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,480.0,$^\circ$C,,,,WROUGHT
AlCrMoTi,23.0,$^\circ$C,C,1100.0,MPa,ANNEAL
AlCo$_{0.512}$Cr$_{0.512}$Fe$_{0.186}$Ni$_{0.116}$,,,,,,
