formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,,,,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-268.8,$^\circ$C,C,2210.0,MPa,WROUGHT
CoCrFeMnNi,,,,,,
NbTaTiW,800.0,$^\circ$C,C,564.0,MPa,ANNEAL
CrFeNiTi$_{0.6}$,25.0,$^\circ$C,C,1923.15,MPa,CAST
HfNbTiVZr,25.0,$^\circ$C,C,1120.0,MPa,ANNEAL
HfMoNbTaTiWZr,1000.0,$^\circ$C,C,736.0,MPa,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$Ti$_{0.097}$,,,,,,CAST
Al$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,2100.0,MPa,WROUGHT
CrTaTi$_{0.3}$VW,25.0,$^\circ$C,C,2050.0,MPa,POWDER
CoCrCuFeNi,25.0,$^\circ$C,C,300.0,MPa,CAST
Al$_{0.25}$MoNbTiV,25.0,$^\circ$C,C,1250.0,MPa,CAST
HfMo$_{0.75}$NbTaTiZr,25.0,$^\circ$C,C,1373.0,MPa,CAST
Al$_{0.5}$B$_{0.2}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.25}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,25.0,$^\circ$C,C,994.0,MPa,CAST
CoCrFeMnNiV$_{0.5}$,25.0,$^\circ$C,C,620.0,MPa,ANNEAL
CoCrCuFeNi,,,,,,CAST
NbTaTi,25.0,$^\circ$C,T,620.0,MPa,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$,,,,,,CAST
CrNbTiVZr,800.0,$^\circ$C,C,615.0,MPa,OTHER
HfNbTaTiZr,700.0,$^\circ$C,,,,WROUGHT
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.3}$CoCrFeNi,,,,,,
CrMo$_{0.5}$NbTa$_{0.5}$TiZr,1200.0,$^\circ$C,C,170.0,MPa,OTHER
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,,,,,,CAST
MoTaTiV,25.0,$^\circ$C,C,1221.0,MPa,CAST
AlCo$_{0.326}$Cr$_{0.488}$Cu$_{0.116}$Fe$_{0.279}$Ni$_{0.116}$,,,,,,
CoCrFeMn$_{0.2}$NiPd,25.0,$^\circ$C,C,650.0,MPa,CAST
AgAlNbTiZn,,,,,,ANNEAL
HfNbSi$_{0.5}$TiVZr,25.0,$^\circ$C,C,1483.0,MPa,ANNEAL
AlCoCrCuFeNi,700.0,$^\circ$C,T,350.0,MPa,CAST
Mo$_{0.7}$NbTiVZr,25.0,$^\circ$C,C,1706.0,MPa,ANNEAL
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.095}$Ni,25.0,$^\circ$C,T,560.0,MPa,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,1269.23,MPa,WROUGHT
HfMoNbTiZr,25.0,$^\circ$C,C,1719.0,MPa,CAST
MoNbTaVW,1000.0,$^\circ$C,C,842.0,MPa,OTHER
CoCrFeGaNi,,,,,,CAST
CrMoTaTi,20.0,$^\circ$C,C,1795.0,MPa,ANNEAL
Al$_{0.364}$Cr$_{0.455}$Fe$_{0.455}$Ni,25.0,$^\circ$C,T,479.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1145.0,MPa,WROUGHT
Al$_{0.545}$Cr$_{0.545}$Fe$_{0.515}$NiTi$_{0.273}$,25.0,$^\circ$C,C,,,ANNEAL
AlCo$_{0.426}$Cr$_{0.383}$Cu$_{0.106}$Fe$_{0.106}$Ni$_{0.106}$,,,,,,
AlCo$_{0.238}$Cr$_{0.714}$Cu$_{0.119}$Fe$_{0.167}$Ni$_{0.143}$,,,,,,
CuMnNiSn$_{0.053}$,25.0,$^\circ$C,C,380.0,MPa,CAST
AlFeNiTiVZr,25.0,$^\circ$C,,,,CAST
CoCr$_{0.487}$Nb$_{0.231}$Ta$_{0.026}$Ti$_{0.821}$,25.0,$^\circ$C,,,,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,,,POWDER
CoCuFeMnNiSn$_{0.08}$,25.0,$^\circ$C,T,,,CAST
HfNbTaTiZr,580.0,$^\circ$C,,,,WROUGHT
CoCr$_{0.667}$Fe$_{0.667}$NiTi$_{0.667}$,25.0,$^\circ$C,,,,ANNEAL
CrMoTaTi,,,,,,CAST
Al$_{0.56}$CoCrFeMnNi,25.0,$^\circ$C,T,526.0,MPa,CAST
AlCo$_{0.465}$Cr$_{0.488}$Fe$_{0.209}$Ni$_{0.163}$,,,,,,
CrCuFeMnNi,25.0,$^\circ$C,T,615.0,MPa,CAST
AlNbTiVZr$_{0.1}$,25.0,$^\circ$C,C,1290.0,MPa,ANNEAL
AlCoCrFe$_{0.6}$Mo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,,,,,,ANNEAL
CrTaTi$_{0.17}$VW,25.0,$^\circ$C,C,2034.0,MPa,POWDER
AlCoCrCuFeNi,25.0,$^\circ$C,C,1285.0,MPa,
CoCrFeMnMo$_{0.136}$Ni,25.0,$^\circ$C,C,560.0,MPa,CAST
CrCuFeMnNi,25.0,$^\circ$C,T,1030.0,MPa,WROUGHT
CoCuFeNiSn$_{0.2}$,25.0,$^\circ$C,T,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,386.2,MPa,WROUGHT
AlCoCrFeNiTi,25.0,$^\circ$C,C,1448.0,MPa,CAST
Co$_{0.318}$Cr$_{0.227}$FeMo$_{0.091}$Ni$_{0.182}$,25.0,$^\circ$C,T,261.0,MPa,WROUGHT
HfNbTaTiZr,180.0,$^\circ$C,,,,WROUGHT
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,143.0,MPa,WROUGHT
Hf$_{0.26}$NbTaTi$_{0.578}$Zr$_{0.416}$,200.0,$^\circ$C,C,650.0,MPa,CAST
HfNbTaTiZr,460.0,$^\circ$C,,,,WROUGHT
AlCu$_{0.2}$Li$_{0.5}$MgZn$_{0.5}$,25.0,$^\circ$C,,,,CAST
CrMo$_{0.5}$NbTa$_{0.5}$TiZr,23.0,$^\circ$C,C,1595.0,MPa,OTHER
Al$_{0.214}$Nb$_{0.714}$Ta$_{0.714}$TiZr$_{0.929}$,800.0,$^\circ$C,C,362.0,MPa,OTHER
CoCrFeNiTi$_{0.2}$,25.0,$^\circ$C,T,700.0,MPa,WROUGHT
CrMo$_{0.5}$NbTa$_{0.5}$TiZr,800.0,$^\circ$C,C,983.0,MPa,OTHER
CoMnNi,25.0,$^\circ$C,T,321.0,MPa,WROUGHT
AlCo$_{0.8}$Cr$_{0.8}$Fe$_{0.8}$Ni$_{0.8}$,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,860.0,MPa,
HfNbTaTiZr,25.0,$^\circ$C,T,1438.0,MPa,OTHER
CoCrFeMnNiV$_{0.263}$,25.0,$^\circ$C,C,200.0,MPa,ANNEAL
Al$_{0.5}$CoFeNi,25.0,$^\circ$C,C,346.0,MPa,CAST
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,330.0,MPa,WROUGHT
AlCoCrCuFeNi,25.0,$^\circ$C,C,948.0,MPa,CAST
Al$_{0.5}$CoCrFeNiTi,25.0,$^\circ$C,C,,,CAST
CoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
Al$_{0.25}$NbTaTiZr,1000.0,$^\circ$C,C,366.0,MPa,OTHER
AlCoCuFeNiTi,25.0,$^\circ$C,,,,CAST
Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,25.0,$^\circ$C,C,219.0,MPa,CAST
HfNbTaTiZr,,,,,,OTHER
CoCr$_{0.25}$Ni,25.0,$^\circ$C,T,330.0,MPa,WROUGHT
NbTiVZr,1000.0,$^\circ$C,C,58.0,MPa,OTHER
Al$_{0.465}$Co$_{0.465}$Cr$_{0.465}$Fe$_{0.465}$Ni,-192.0,$^\circ$C,T,700.0,MPa,
NbTaTiV,25.0,$^\circ$C,C,1373.0,MPa,POWDER
AlCoCrFeNi,25.0,$^\circ$C,C,1313.0,MPa,
HfMoNbTiZr,25.0,$^\circ$C,C,1719.0,MPa,CAST
Al$_{0.562}$Co$_{0.938}$Cr$_{0.312}$Fe$_{0.312}$Ni,25.0,$^\circ$C,C,1129.4,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,1100.0,$^\circ$C,C,79.0,MPa,CAST
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,1200.0,$^\circ$C,C,188.0,MPa,CAST
Al$_{0.5}$CoCrCuFe,25.0,$^\circ$C,,,,
Al$_{0.278}$Co$_{0.556}$Cr$_{0.556}$Cu$_{0.556}$Fe$_{0.556}$Ni$_{0.556}$Ti,25.0,$^\circ$C,,,,CAST
AlCo$_{0.298}$Cr$_{0.404}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
Al$_{0.333}$Nb$_{0.667}$Ta$_{0.533}$TiV$_{0.133}$Zr$_{0.667}$,25.0,$^\circ$C,C,2035.0,MPa,OTHER
HfNbTaZr,25.0,$^\circ$C,C,1950.0,MPa,ANNEAL
Al$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Al$_{0.2}$CoCrFeMnNi,25.0,$^\circ$C,T,220.0,MPa,CAST
Al$_{0.3}$CoCrFeNi,430.0,$^\circ$C,C,,,CAST
Al$_{0.357}$Co$_{0.714}$Cr$_{0.714}$Cu$_{0.714}$Fe$_{0.714}$Ni$_{0.714}$V,25.0,$^\circ$C,,,,CAST
CoCrNi,24.0,$^\circ$C,T,400.0,MPa,ANNEAL
CrNb$_{0.333}$Ti$_{0.333}$Zr$_{0.333}$,1200.0,$^\circ$C,C,32.0,MPa,OTHER
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,,,,,,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,1300.0,MPa,WROUGHT
HfNbTaTiZr,420.0,$^\circ$C,,,,WROUGHT
CoCrFeMo$_{0.208}$Ni,25.0,$^\circ$C,T,254.7,MPa,CAST
CrHfNbTiZr,25.0,$^\circ$C,C,1375.0,MPa,CAST
CoCuFeMnNi,100.0,$^\circ$C,,,,CAST
AlCrMoTi,1200.0,$^\circ$C,C,100.0,MPa,ANNEAL
CoCrFeMnNiTa$_{0.6}$,,,,,,
AlCrMoTi,800.0,$^\circ$C,C,875.0,MPa,ANNEAL
AlCo$_{0.769}$Cr$_{0.769}$Cu$_{0.769}$Fe$_{0.769}$,25.0,$^\circ$C,,,,
CrCuFeMnNi,,,,,,ANNEAL
Al$_{0.544}$C$_{0.001}$Co$_{0.69}$FeNi$_{0.69}$,25.0,$^\circ$C,C,1202.0,MPa,CAST
Co$_{0.043}$Nb$_{0.638}$NiTa$_{0.255}$Ti$_{0.191}$,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,240.0,$^\circ$C,,,,WROUGHT
CrTaVW,1200.0,$^\circ$C,C,979.0,MPa,POWDER
AlCoCrFeNi,25.0,$^\circ$C,C,1220.0,MPa,ANNEAL
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$,25.0,$^\circ$C,,,,ANNEAL
HfMoTaTiZr,23.0,$^\circ$C,C,1600.0,MPa,CAST
NbTiVZr,25.0,$^\circ$C,C,1105.0,MPa,
AlFeNiTi,25.0,$^\circ$C,C,,,POWDER
AlCrFeMo$_{0.5}$NiTi$_{0.75}$,25.0,$^\circ$C,C,618.8,MPa,CAST
CoCrNi,25.0,$^\circ$C,T,1100.0,MPa,WROUGHT
AlC$_{0.4}$CoCrFeNi,25.0,$^\circ$C,C,1056.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,1000.0,$^\circ$C,C,116.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,900.0,$^\circ$C,T,219.0,MPa,ANNEAL
HfMoNbTaTiZr,23.0,$^\circ$C,C,1512.0,MPa,CAST
AlCrFeMo$_{0.5}$NiTi$_{0.5}$,25.0,$^\circ$C,C,2228.7,MPa,CAST
MoNbTaTiW,1200.0,$^\circ$C,C,586.0,MPa,CAST
Co$_{0.25}$CrNi,25.0,$^\circ$C,T,462.0,MPa,WROUGHT
HfNbSi$_{0.5}$TiVZr,25.0,$^\circ$C,C,1540.0,MPa,CAST
C$_{0.1}$CoCrFeMnNiTi$_{0.1}$,25.0,$^\circ$C,C,1490.0,MPa,POWDER
CrTaTi$_{0.3}$VW,1200.0,$^\circ$C,C,586.0,MPa,POWDER
HfNbTaTiWZr,1000.0,$^\circ$C,C,409.0,MPa,CAST
Al$_{0.7}$CoCrFeMnNi,25.0,$^\circ$C,C,2230.0,MPa,CAST
Al$_{0.15}$Cr$_{0.5}$Cu$_{0.25}$Fe$_{0.5}$Ni,25.0,$^\circ$C,T,62.0,MPa,WROUGHT
HfScTiYZr,25.0,$^\circ$C,C,793.0,MPa,CAST
Al$_{0.15}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,272.0,MPa,CAST
CrCuFeMoNi,25.0,$^\circ$C,,,,CAST
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,1311.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,T,210.0,MPa,CAST
HfMo$_{0.5}$NbTiV$_{0.5}$,1200.0,$^\circ$C,C,60.0,MPa,CAST
HfMoNbTaTiZr,1200.0,$^\circ$C,C,556.0,MPa,CAST
CoCrCuNiZn,25.0,$^\circ$C,C,,,POWDER
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,840.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,T,300.0,MPa,WROUGHT
Al$_{0.451}$Co$_{0.451}$Cr$_{0.451}$Fe$_{0.451}$Ni,-192.0,$^\circ$C,T,700.0,MPa,
Hf$_{0.5}$Mo$_{0.5}$NbSi$_{0.7}$TiZr,25.0,$^\circ$C,C,1550.0,MPa,CAST
Al$_{0.95}$CoCrFeMnNi,25.0,$^\circ$C,,,,CAST
MoNbSi$_{0.75}$TaW,600.0,$^\circ$C,,,,POWDER
Al$_{0.375}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlC$_{0.5}$CoCrFeNi,25.0,$^\circ$C,C,1060.0,MPa,CAST
AlCu$_{0.077}$Mg$_{0.077}$Si$_{0.231}$Zn$_{0.077}$Zr$_{0.077}$,25.0,$^\circ$C,C,565.0,MPa,CAST
MoNbTaW,200.0,$^\circ$C,,,,POWDER
AlCoCrFeMo$_{0.3}$Ni,25.0,$^\circ$C,C,2649.0,MPa,CAST
AlCoCrNi,25.0,$^\circ$C,C,1750.0,MPa,CAST
NbTaVW,25.0,$^\circ$C,C,1530.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1094.0,MPa,OTHER
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,25.0,$^\circ$C,T,596.0,MPa,ANNEAL
CrMoNbTiW,25.0,$^\circ$C,C,2500.0,MPa,POWDER
MoNbTaTi,,,,,,CAST
HfMoNbTiZr,1000.0,$^\circ$C,C,721.0,MPa,CAST
MoNbSi$_{0.25}$TaW,400.0,$^\circ$C,,,,POWDER
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,175.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-268.8,$^\circ$C,C,2390.0,MPa,WROUGHT
MoNbTiV,25.0,$^\circ$C,C,1200.0,MPa,CAST
HfMoNbTaTi,1400.0,$^\circ$C,C,367.0,MPa,CAST
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,25.0,$^\circ$C,T,357.0,MPa,CAST
AlCCoCrFeNi,,,,,,POWDER
Hf$_{0.25}$Nb$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,25.0,$^\circ$C,C,1065.0,MPa,CAST
AlCo$_{0.5}$CrFeNi,25.0,$^\circ$C,C,1349.0,MPa,
Al$_{0.38}$CoCrFeMnNi,25.0,$^\circ$C,T,244.0,MPa,CAST
Mo$_{0.667}$Nb$_{0.667}$Ti$_{0.667}$VZr$_{0.667}$,25.0,$^\circ$C,C,1735.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,C,230.0,MPa,ANNEAL
CoCuFeMnNi,25.0,$^\circ$C,T,,,CAST
CoCrFeMo$_{0.083}$Ni,25.0,$^\circ$C,T,198.8,MPa,CAST
NbTiZr,25.0,$^\circ$C,C,1223.0,MPa,CAST
Mo$_{0.5}$Nb$_{0.5}$Ti$_{0.5}$VZr$_{0.5}$,25.0,$^\circ$C,C,1538.0,MPa,CAST
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,2000.0,MPa,OTHER
CoCrFeMnNiV$_{0.25}$,25.0,$^\circ$C,C,200.0,MPa,ANNEAL
AlCoCrCuFeMnNi,25.0,$^\circ$C,C,1005.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,243.0,MPa,WROUGHT
Nb$_{0.5}$Ti$_{0.5}$VZr$_{0.5}$,800.0,$^\circ$C,C,240.0,MPa,OTHER
CoCrFeMo$_{0.304}$Ni,25.0,$^\circ$C,T,683.7,MPa,WROUGHT
NbTa$_{0.667}$Ti$_{0.667}$Zr$_{0.333}$,25.0,$^\circ$C,T,822.0,MPa,CAST
HfMoTaTiZr,1200.0,$^\circ$C,C,404.0,MPa,CAST
CrHfNbTiZr,25.0,$^\circ$C,C,1328.0,MPa,ANNEAL
CoFeMo$_{0.4}$NiV,25.0,$^\circ$C,,,,CAST
CoCrFeMn$_{0.8}$NiPd,25.0,$^\circ$C,C,650.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,72.0,$^\circ$C,C,640.0,MPa,WROUGHT
CoCrMoNb,25.0,$^\circ$C,C,,,CAST
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
CoCrFeNi,25.0,$^\circ$C,T,148.0,MPa,CAST
Co$_{0.986}$Cr$_{0.952}$Fe$_{0.933}$Mn$_{0.914}$Ni,25.0,$^\circ$C,T,585.0,MPa,WROUGHT
AlCrMoNbTi,1200.0,$^\circ$C,C,105.0,MPa,ANNEAL
AlCrFeMo$_{0.8}$Ni,25.0,$^\circ$C,C,1513.0,MPa,CAST
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,879.0,MPa,WROUGHT
HfMoNbTiZr,800.0,$^\circ$C,C,825.0,MPa,ANNEAL
CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
CoCrFeMnNi,,,,,,
Al$_{0.5}$CoCrCuFeNiTi,25.0,$^\circ$C,,,,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-196.0,$^\circ$C,C,1880.0,MPa,WROUGHT
AlCo$_{0.512}$Cr$_{0.581}$Fe$_{0.116}$Ni$_{0.116}$,,,,,,
CrCuFeNiTi,,,,,,WROUGHT
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,1200.0,$^\circ$C,C,188.0,MPa,CAST
NbTiVZr,25.0,$^\circ$C,C,1105.0,MPa,OTHER
CrNbTiW,,,,,,CAST
MoNbTaTiW,,,,,,CAST
Al$_{0.4}$Hf$_{0.6}$NbTaTiZr,23.0,$^\circ$C,C,1841.0,MPa,OTHER
Al$_{0.5}$CoCrCuFeNiV$_{0.8}$,25.0,$^\circ$C,,,,CAST
NbTa$_{0.3}$TiZr,23.0,$^\circ$C,C,882.0,MPa,OTHER
Al$_{0.511}$Co$_{0.511}$Cr$_{0.511}$Fe$_{0.511}$Ni,25.0,$^\circ$C,T,545.0,MPa,CAST
Cr$_{0.5}$Fe$_{0.5}$NiTi$_{0.15}$,25.0,$^\circ$C,T,672.0,MPa,WROUGHT
CoCr$_{0.455}$Fe$_{0.364}$Ni$_{0.364}$,25.0,$^\circ$C,T,392.0,MPa,WROUGHT
AlCo$_{0.556}$Cr$_{0.556}$Fe$_{0.556}$Ni$_{0.556}$Ti$_{0.111}$,25.0,$^\circ$C,C,1324.0,MPa,CAST
CoCrFeMnNiTa$_{0.2}$,,,,,,
AgAlNbTiZn,,,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlCo$_{0.558}$Cr$_{0.512}$Fe$_{0.116}$Ni$_{0.14}$,,,,,,
CoCuFeNiTiVZr,25.0,$^\circ$C,,,,CAST
AlMoNbTiV,25.0,$^\circ$C,C,1375.0,MPa,CAST
CrNbTiW,,,,,,ANNEAL
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,263.0,MPa,WROUGHT
AgAlNbTiZn,,,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,520.0,MPa,POWDER
CoFeNi,25.0,$^\circ$C,T,217.0,MPa,WROUGHT
HfNbTiZr,,,,,,ANNEAL
HfMoNbTaTi,800.0,$^\circ$C,C,822.0,MPa,CAST
Al$_{0.25}$CoCrCu$_{0.5}$FeNiTi$_{0.5}$,25.0,$^\circ$C,,,,CAST
AlCoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,C,2757.0,MPa,CAST
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,792.0,MPa,WROUGHT
C$_{0.1}$CoCrFeMnNiTi$_{0.1}$,25.0,$^\circ$C,C,1194.0,MPa,POWDER
HfNbTaTiZr,25.0,$^\circ$C,T,1303.0,MPa,WROUGHT
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.095}$Ni,25.0,$^\circ$C,T,170.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,C,1015.0,MPa,CAST
Al$_{0.5}$CoCrFeNiTi$_{0.5}$,,,,,,
Al$_{0.25}$CoCrCuFeMnNiTiV,25.0,$^\circ$C,C,1465.0,MPa,CAST
CoCrNi,-196.0,$^\circ$C,T,600.0,MPa,ANNEAL
CrCuFeMnNi,25.0,$^\circ$C,T,517.0,MPa,ANNEAL
CoFeNi,25.0,$^\circ$C,T,276.0,MPa,WROUGHT
CoCrFeNiTi$_{0.2}$,-196.0,$^\circ$C,T,860.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,C,216.0,MPa,CAST
CoCrFeNi,25.0,$^\circ$C,C,163.0,MPa,CAST
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,305.0,MPa,ANNEAL
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,C,1241.0,MPa,CAST
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,25.0,$^\circ$C,T,365.0,MPa,ANNEAL
Co$_{0.318}$Cr$_{0.227}$FeMo$_{0.091}$Ni$_{0.182}$,25.0,$^\circ$C,T,301.0,MPa,WROUGHT
AlCo$_{0.333}$Cr$_{0.333}$Cu$_{0.333}$Fe$_{0.333}$,25.0,$^\circ$C,,,,
CoCrNi,-196.0,$^\circ$C,T,1215.0,MPa,ANNEAL
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.19}$Ni,25.0,$^\circ$C,T,,,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,C,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,C,1150.0,MPa,WROUGHT
Al$_{0.667}$Nb$_{0.667}$Ti$_{0.667}$V$_{0.667}$Zr,800.0,$^\circ$C,C,180.0,MPa,ANNEAL
MoNbTiVZr,23.0,$^\circ$C,C,1706.0,MPa,OTHER
Co$_{0.833}$Fe$_{0.833}$Mo$_{0.833}$NiV$_{0.833}$,25.0,$^\circ$C,,,,CAST
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,799.0,MPa,WROUGHT
MoNbTaTi,300.0,$^\circ$C,C,732.0,MPa,ANNEAL
Al$_{0.214}$Nb$_{0.714}$Ta$_{0.571}$TiV$_{0.143}$Zr$_{0.929}$,1000.0,$^\circ$C,C,166.0,MPa,OTHER
CrMoNbTaVW,25.0,$^\circ$C,C,,,POWDER
Al$_{0.75}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.2}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Al$_{0.5}$BCoCrCuFeNi,25.0,$^\circ$C,,,,CAST
FeMnNi,25.0,$^\circ$C,T,522.0,MPa,WROUGHT
AlNbTiVZr$_{0.5}$,25.0,$^\circ$C,C,1485.0,MPa,ANNEAL
AlCoCrFeMo$_{0.4}$Ni,25.0,$^\circ$C,C,2670.0,MPa,CAST
MoNbSi$_{0.5}$TaW,800.0,$^\circ$C,,,,POWDER
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,506.0,MPa,WROUGHT
AlCoCrFeNi,700.0,$^\circ$C,T,295.0,MPa,OTHER
Al$_{0.465}$Co$_{0.465}$Cr$_{0.465}$Fe$_{0.465}$Ni,25.0,$^\circ$C,T,545.0,MPa,CAST
AlNbTa$_{0.5}$TiZr$_{0.5}$,1000.0,$^\circ$C,C,535.0,MPa,OTHER
HfNbTaTiZr,25.0,$^\circ$C,T,803.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNiV$_{0.6}$,25.0,$^\circ$C,,,,CAST
CoMnNi,25.0,$^\circ$C,T,333.0,MPa,WROUGHT
AlNbTiV,800.0,$^\circ$C,C,685.0,MPa,ANNEAL
CrCuFeMnNi,25.0,$^\circ$C,T,850.0,MPa,WROUGHT
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,547.0,MPa,ANNEAL
MoNbTaW,25.0,$^\circ$C,C,996.0,MPa,CAST
MoNbTaTi$_{0.25}$W,25.0,$^\circ$C,C,1109.0,MPa,CAST
AlCr$_{0.767}$Fe$_{0.767}$Ni$_{0.767}$,25.0,$^\circ$C,C,1122.8,MPa,CAST
AlCu$_{0.889}$Fe$_{0.667}$Ni$_{0.889}$Ti,25.0,$^\circ$C,C,980.0,MPa,CAST
Al$_{0.35}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,326.0,MPa,CAST
AlCoCrCuFeNi,900.0,$^\circ$C,C,98.0,MPa,CAST
AlCrMoNbTi,23.0,$^\circ$C,C,1010.0,MPa,ANNEAL
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,280.0,MPa,WROUGHT
